"age","sex","province","education","religion","income_before_tax","vote_liberal","vote_conservative","vote_ndp"
32,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",0,0,1
68,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
77,"Male","Ontario","Highly Educated","NO","Middle Class",0,1,0
64,"Female","Ontario","Highly Educated","YES","Middle Class",0,1,0
66,"Male","British Columbia","Some Education","YES","Middle Class",1,0,0
52,"Female","Manitoba","Highly Educated","YES","Middle Class",1,0,0
60,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1,0
43,"Female","Quebec","Some Education","NO","Middle Class",1,0,0
60,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor",1,0,0
73,"Female","British Columbia","Some Education","YES","Middle Class",0,0,1
61,"Female","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",0,1,0
18,"Female","Ontario","Some Education","NO","Middle Class",0,0,1
79,"Female","Ontario","Highly Educated","YES","Middle Class",NA,NA,NA
72,"Male","British Columbia","Some Education","YES","Middle Class",NA,NA,NA
43,"Male","Ontario","Highly Educated","YES","Middle Class",0,1,0
66,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
63,"Male","New Brunswick","Some Education","YES","Lower Middle Class to Poor",0,0,0
41,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",0,1,0
38,"Male","New Brunswick","Some Education","NO","Lower Middle Class to Poor",NA,NA,NA
58,"Male","Ontario","Some Education","YES","Upper Middle Class to Wealthy",0,1,0
67,"Male","Quebec","Some Education","YES","Middle Class",1,0,0
34,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
29,"Male","Ontario","Highly Educated","YES","Middle Class",0,0,1
38,"Male","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",1,0,0
78,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,0
40,"Female","Quebec","Some Education","NO","Lower Middle Class to Poor",1,0,0
24,"Female","Ontario","Highly Educated","YES","Middle Class",1,0,0
43,"Male","Quebec","Some Education","NO","Middle Class",NA,NA,NA
53,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
79,"Male","Quebec","Highly Educated","NO","Lower Middle Class to Poor",NA,NA,NA
65,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
33,"Female","Alberta","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA,NA
38,"Female","Ontario","Highly Educated","YES","Middle Class",NA,NA,NA
69,"Female","Quebec","Some Education","YES","Middle Class",0,0,1
45,"Male","Quebec","Highly Educated","YES","Middle Class",NA,NA,NA
62,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,0,1
69,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",0,1,0
44,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,1,0
41,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
59,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",1,0,0
43,"Female","Alberta","Some Education","NO","Middle Class",0,0,1
21,"Male","Quebec","Highly Educated","NO","Upper Middle Class to Wealthy",0,0,1
66,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",0,0,0
59,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
50,"Male","Alberta","Some Education","YES","Middle Class",NA,NA,NA
64,"Male","Quebec","Highly Educated","YES","Middle Class",0,0,0
61,"Male","Ontario","Some Education","YES","Middle Class",1,0,0
47,"Female","Ontario","Some Education","NO","Middle Class",0,1,0
37,"Female","Manitoba","Some Education","NO","Upper Middle Class to Wealthy",1,0,0
58,"Female","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",0,1,0
59,"Male","Quebec","Some Education","YES","Middle Class",0,0,0
65,"Male","Alberta","Some Education","YES","Middle Class",0,1,0
88,"Female","Ontario","Highly Educated","NO","Middle Class",0,1,0
79,"Female","Saskatchewan","Highly Educated","YES","Middle Class",NA,NA,NA
28,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor",0,0,1
34,"Male","Quebec","Some Education","YES","Middle Class",NA,NA,NA
19,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
39,"Male","British Columbia","Highly Educated","NO","Middle Class",0,0,1
46,"Male","Quebec","Highly Educated","NO","Upper Middle Class to Wealthy",1,0,0
29,"Male","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",0,1,0
56,"Female","Ontario","Some Education","YES","Upper Middle Class to Wealthy",NA,NA,NA
50,"Male","British Columbia","Highly Educated","YES","Middle Class",1,0,0
21,"Female","Ontario","Some Education","NO","Middle Class",0,0,1
24,"Female","Alberta","Some Education","YES","Middle Class",0,1,0
55,"Female","Ontario","Some Education","YES","Middle Class",0,0,0
53,"Male","British Columbia","Highly Educated","NO","Lower Middle Class to Poor",NA,NA,NA
51,"Male","Alberta","Highly Educated","YES","Middle Class",NA,NA,NA
43,"Male","Quebec","Highly Educated","NO","Lower Middle Class to Poor",1,0,0
74,"Female","Saskatchewan","Some Education","YES","Middle Class",0,1,0
25,"Female","Alberta","Highly Educated","NO","Middle Class",0,1,0
43,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,1,0
24,"Female","Quebec","Some Education","NO","Lower Middle Class to Poor",1,0,0
73,"Male","Quebec","Highly Educated","YES","Middle Class",0,0,1
23,"Female","Ontario","Highly Educated","NO","Middle Class",0,0,1
75,"Female","British Columbia","Some Education","NO","Middle Class",NA,NA,NA
35,"Female","British Columbia","Some Education","YES","Middle Class",0,0,1
52,"Female","Ontario","Highly Educated","YES","Middle Class",0,1,0
20,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
31,"Female","Ontario","Highly Educated","YES","Middle Class",NA,NA,NA
31,"Female","Alberta","Some Education","NO","Middle Class",NA,NA,NA
28,"Female","Ontario","Highly Educated","NO","Middle Class",0,0,0
27,"Male","Ontario","Highly Educated","YES","Middle Class",NA,NA,NA
26,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor",0,0,0
66,"Female","Quebec","Some Education","NO","Middle Class",0,0,1
29,"Male","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",1,0,0
60,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",0,1,0
69,"Female","Quebec","Highly Educated","YES","Middle Class",0,1,0
74,"Female","Ontario","Some Education","YES","Middle Class",1,0,0
23,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
64,"Male","Alberta","Highly Educated","YES","Middle Class",NA,NA,NA
42,"Female","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA,NA
25,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor",0,0,1
66,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
37,"Male","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",1,0,0
60,"Female","Manitoba","Some Education","YES","Middle Class",NA,NA,NA
22,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
77,"Male","Alberta","Highly Educated","YES","Middle Class",NA,NA,NA
34,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
66,"Female","Alberta","Highly Educated","YES","Upper Middle Class to Wealthy",1,0,0
66,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1,0
26,"Male","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,0
74,"Female","Alberta","Highly Educated","YES","Middle Class",NA,NA,NA
75,"Male","Ontario","Highly Educated","NO","Middle Class",NA,NA,NA
32,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor",NA,NA,NA
42,"Female","Alberta","Some Education","NO","Middle Class",NA,NA,NA
20,"Male","Ontario","Some Education","YES","Middle Class",NA,NA,NA
57,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
63,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",1,0,0
43,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA,NA
46,"Female","Quebec","Some Education","YES","Middle Class",0,1,0
59,"Male","Ontario","Some Education","YES","Middle Class",1,0,0
54,"Female","Alberta","Highly Educated","YES","Middle Class",0,1,0
24,"Female","British Columbia","Highly Educated","NO","Middle Class",0,0,1
64,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor",1,0,0
23,"Female","Quebec","Some Education","YES","Middle Class",NA,NA,NA
57,"Female","Quebec","Some Education","YES","Middle Class",1,0,0
24,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
25,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",0,0,1
68,"Female","British Columbia","Some Education","YES","Middle Class",0,1,0
52,"Male","Alberta","Highly Educated","NO","Upper Middle Class to Wealthy",0,0,1
45,"Female","Alberta","Highly Educated","NO","Middle Class",NA,NA,NA
72,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor",0,1,0
62,"Female","Quebec","Highly Educated","NO","Lower Middle Class to Poor",1,0,0
25,"Female","Quebec","Highly Educated","NO","Middle Class",0,0,0
44,"Male","Quebec","Highly Educated","YES","Middle Class",1,0,0
63,"Female","Quebec","Highly Educated","NO","Middle Class",0,0,1
59,"Female","Nova Scotia","Some Education","NO","Middle Class",NA,NA,NA
39,"Female","Quebec","Highly Educated","YES","Middle Class",NA,NA,NA
85,"Female","Quebec","Highly Educated","YES","Middle Class",1,0,0
26,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
72,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",0,1,0
40,"Male","Quebec","Highly Educated","NO","Middle Class",0,0,0
61,"Male","Ontario","Highly Educated","YES","Lower Middle Class to Poor",0,0,0
45,"Male","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,1
66,"Male","British Columbia","Highly Educated","YES","Middle Class",1,0,0
75,"Male","Ontario","Some Education","NO","Middle Class",0,1,0
67,"Female","Quebec","Some Education","NO","Middle Class",0,0,0
31,"Female","New Brunswick","Some Education","YES","Middle Class",0,0,1
66,"Female","Quebec","Some Education","YES","Middle Class",0,0,0
51,"Male","Quebec","Some Education","YES","Upper Middle Class to Wealthy",0,1,0
54,"Female","Quebec","Highly Educated","YES","Middle Class",0,0,1
30,"Female","Manitoba","Highly Educated","NO","Middle Class",0,0,1
40,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor",1,0,0
51,"Male","British Columbia","Highly Educated","NO","Middle Class",1,0,0
59,"Female","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",NA,NA,NA
73,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor",0,0,0
56,"Female","Ontario","Highly Educated","YES","Middle Class",0,1,0
36,"Male","Alberta","Highly Educated","YES","Middle Class",NA,NA,NA
78,"Female","Ontario","Some Education","YES","Middle Class",NA,NA,NA
43,"Male","Quebec","Highly Educated","NO","Upper Middle Class to Wealthy",1,0,0
78,"Female","Saskatchewan","Some Education","YES","Lower Middle Class to Poor",0,1,0
37,"Male","Quebec","Some Education","NO","Lower Middle Class to Poor",NA,NA,NA
41,"Female","Ontario","Some Education","YES","Middle Class",0,0,1
49,"Male","Nova Scotia","Some Education","NO","Upper Middle Class to Wealthy",1,0,0
65,"Female","Ontario","Some Education","NO","Middle Class",0,1,0
35,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor",1,0,0
34,"Male","Ontario","Highly Educated","NO","Lower Middle Class to Poor",1,0,0
50,"Male","British Columbia","Some Education","YES","Upper Middle Class to Wealthy",0,0,1
22,"Male","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",NA,NA,NA
53,"Male","Quebec","Some Education","YES","Middle Class",0,0,0
23,"Female","Nova Scotia","Highly Educated","NO","Lower Middle Class to Poor",0,0,1
59,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA,NA
69,"Female","Quebec","Some Education","YES","Upper Middle Class to Wealthy",NA,NA,NA
55,"Female","Alberta","Some Education","YES","Middle Class",NA,NA,NA
21,"Female","Ontario","Some Education","NO","Lower Middle Class to Poor",0,0,0
39,"Female","Ontario","Highly Educated","NO","Middle Class",1,0,0
76,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor",0,0,0
74,"Female","Quebec","Highly Educated","NO","Middle Class",0,0,0
50,"Female","Ontario","Some Education","NO","Lower Middle Class to Poor",0,0,0
54,"Female","Quebec","Some Education","YES","Middle Class",0,0,0
58,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",1,0,0
62,"Female","Quebec","Some Education","YES","Middle Class",NA,NA,NA
57,"Male","British Columbia","Some Education","NO","Lower Middle Class to Poor",0,0,1
45,"Female","Quebec","Some Education","YES","Middle Class",NA,NA,NA
45,"Female","Ontario","Some Education","YES","Middle Class",NA,NA,NA
83,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",1,0,0
70,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
75,"Female","Alberta","Some Education","YES","Middle Class",0,1,0
52,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
70,"Male","Quebec","Some Education","YES","Upper Middle Class to Wealthy",0,1,0
59,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",1,0,0
69,"Male","Ontario","Some Education","YES","Middle Class",0,0,1
27,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor",1,0,0
27,"Female","Quebec","Highly Educated","NO","Middle Class",0,0,0
66,"Female","Alberta","Highly Educated","YES","Middle Class",NA,NA,NA
74,"Female","Ontario","Some Education","YES","Middle Class",NA,NA,NA
53,"Male","Quebec","Some Education","NO","Lower Middle Class to Poor",0,0,0
69,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
56,"Female","Manitoba","Highly Educated","YES","Middle Class",0,0,1
68,"Female","Quebec","Some Education","YES","Middle Class",NA,NA,NA
73,"Male","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,0
69,"Female","Ontario","Some Education","YES","Upper Middle Class to Wealthy",1,0,0
60,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
54,"Male","Ontario","Highly Educated","NO","Middle Class",0,0,1
67,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",0,0,0
28,"Female","Quebec","Highly Educated","NO","Middle Class",0,0,0
63,"Male","Quebec","Some Education","YES","Middle Class",1,0,0
41,"Male","Ontario","Highly Educated","YES","Middle Class",NA,NA,NA
62,"Male","Quebec","Some Education","YES","Upper Middle Class to Wealthy",1,0,0
23,"Male","British Columbia","Some Education","YES","Middle Class",0,0,0
45,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,0
52,"Female","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",1,0,0
74,"Female","Ontario","Highly Educated","YES","Middle Class",0,1,0
65,"Female","Ontario","Some Education","YES","Middle Class",1,0,0
77,"Male","Quebec","Some Education","NO","Lower Middle Class to Poor",NA,NA,NA
73,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",1,0,0
34,"Male","Ontario","Highly Educated","YES","Middle Class",0,1,0
27,"Female","Quebec","Some Education","NO","Middle Class",NA,NA,NA
26,"Female","Ontario","Highly Educated","NO","Lower Middle Class to Poor",0,0,1
38,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor",NA,NA,NA
31,"Male","Quebec","Highly Educated","NO","Middle Class",1,0,0
53,"Female","Ontario","Highly Educated","NO","Middle Class",1,0,0
25,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor",NA,NA,NA
52,"Female","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",1,0,0
34,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",1,0,0
74,"Female","Ontario","Some Education","YES","Upper Middle Class to Wealthy",1,0,0
66,"Female","Ontario","Some Education","YES","Middle Class",0,1,0
53,"Male","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,1
73,"Female","Ontario","Highly Educated","NO","Lower Middle Class to Poor",0,1,0
65,"Female","Newfoundland and Labrador","Highly Educated","NO","Lower Middle Class to Poor",NA,NA,NA
42,"Female","Newfoundland and Labrador","Some Education","NO","Lower Middle Class to Poor",NA,NA,NA
24,"Female","Ontario","Highly Educated","NO","Lower Middle Class to Poor",1,0,0
53,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1,0
59,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor",0,1,0
83,"Female","Ontario","Some Education","NO","Middle Class",NA,NA,NA
69,"Female","Quebec","Highly Educated","NO","Upper Middle Class to Wealthy",0,0,0
55,"Female","Ontario","Some Education","NO","Upper Middle Class to Wealthy",NA,NA,NA
41,"Male","Nova Scotia","Highly Educated","NO","Middle Class",0,0,1
75,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor",1,0,0
53,"Male","Alberta","Highly Educated","YES","Middle Class",0,1,0
29,"Female","Alberta","Highly Educated","NO","Middle Class",0,1,0
61,"Female","Alberta","Some Education","YES","Middle Class",NA,NA,NA
58,"Male","Quebec","Highly Educated","NO","Upper Middle Class to Wealthy",NA,NA,NA
48,"Female","Alberta","Highly Educated","YES","Middle Class",1,0,0
72,"Female","Quebec","Some Education","YES","Middle Class",NA,NA,NA
25,"Female","Manitoba","Some Education","YES","Middle Class",0,0,0
29,"Female","Quebec","Highly Educated","NO","Middle Class",1,0,0
53,"Female","Alberta","Some Education","YES","Middle Class",0,0,0
83,"Female","Quebec","Highly Educated","NO","Upper Middle Class to Wealthy",0,1,0
55,"Female","Ontario","Some Education","NO","Middle Class",0,1,0
30,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,1
56,"Female","Quebec","Highly Educated","NO","Upper Middle Class to Wealthy",0,0,0
76,"Male","British Columbia","Some Education","NO","Middle Class",NA,NA,NA
18,"Female","Ontario","Some Education","YES","Middle Class",NA,NA,NA
45,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",1,0,0
33,"Male","Alberta","Some Education","NO","Middle Class",0,0,1
67,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",0,0,1
57,"Female","Quebec","Some Education","YES","Middle Class",0,0,0
57,"Female","Quebec","Some Education","YES","Middle Class",NA,NA,NA
29,"Female","Quebec","Some Education","NO","Lower Middle Class to Poor",0,0,0
74,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1,0
62,"Female","Ontario","Highly Educated","YES","Middle Class",1,0,0
73,"Female","Ontario","Limited Education","YES","Middle Class",NA,NA,NA
51,"Female","Ontario","Highly Educated","NO","Upper Middle Class to Wealthy",0,0,0
37,"Female","Alberta","Some Education","YES","Upper Middle Class to Wealthy",NA,NA,NA
48,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,1
67,"Female","British Columbia","Highly Educated","NO","Middle Class",0,0,1
70,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",0,1,0
39,"Female","Quebec","Some Education","YES","Middle Class",0,0,0
34,"Male","Quebec","Highly Educated","NO","Middle Class",1,0,0
26,"Female","Ontario","Some Education","YES","Middle Class",0,0,1
45,"Male","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",1,0,0
60,"Male","New Brunswick","Highly Educated","NO","Upper Middle Class to Wealthy",1,0,0
30,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA,NA
55,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
30,"Male","Ontario","Some Education","YES","Middle Class",NA,NA,NA
67,"Male","Quebec","Highly Educated","NO","Middle Class",0,0,0
61,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor",0,0,0
51,"Male","New Brunswick","Some Education","YES","Middle Class",0,0,0
67,"Male","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy",0,0,0
63,"Female","British Columbia","Some Education","NO","Upper Middle Class to Wealthy",0,0,0
64,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
68,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
57,"Male","Ontario","Some Education","YES","Middle Class",0,1,0
74,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor",NA,NA,NA
62,"Male","Ontario","Some Education","YES","Middle Class",0,1,0
35,"Female","Ontario","Highly Educated","YES","Middle Class",NA,NA,NA
