"age","sex","province","education","religion","income_before_tax"
58,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor"
80,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor"
42,"Female","Ontario",NA,"YES","Middle Class"
44,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor"
27,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor"
24,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
41,"Male","Quebec",NA,"YES","Lower Middle Class to Poor"
26,"Female","Quebec","Highly Educated","NO","Lower Middle Class to Poor"
32,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
58,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
15,"Female","Ontario","Limited Education","YES","Lower Middle Class to Poor"
16,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
42,"Male","British Columbia","Highly Educated","YES","Middle Class"
25,"Female","Manitoba","Limited Education","YES","Lower Middle Class to Poor"
54,"Male","Ontario","Highly Educated","NO",NA
17,"Male","Quebec","Limited Education","YES","Lower Middle Class to Poor"
64,"Female","Ontario",NA,"YES","Middle Class"
58,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
75,"Female","Newfoundland and Labrador","Limited Education","YES","Lower Middle Class to Poor"
41,"Male","Nova Scotia","Some Education","YES","Middle Class"
60,"Male","Newfoundland and Labrador","Limited Education","YES","Lower Middle Class to Poor"
80,"Female","Ontario",NA,"NO","Lower Middle Class to Poor"
53,"Male","Newfoundland and Labrador","Highly Educated","YES","Middle Class"
35,"Male","Ontario","Highly Educated","NO","Lower Middle Class to Poor"
80,"Male","Ontario",NA,"YES","Lower Middle Class to Poor"
73,"Female","Manitoba",NA,"YES","Lower Middle Class to Poor"
80,"Male","British Columbia","Highly Educated","YES","Lower Middle Class to Poor"
72,"Female","British Columbia",NA,"YES","Lower Middle Class to Poor"
56,"Female","New Brunswick",NA,"YES","Middle Class"
65,"Female","Ontario",NA,"NO","Middle Class"
30,"Male","Ontario",NA,"YES","Middle Class"
71,"Male","Alberta",NA,"YES","Lower Middle Class to Poor"
33,"Female","Prince Edward Island","Some Education","YES","Lower Middle Class to Poor"
25,"Male","Quebec",NA,"NO","Lower Middle Class to Poor"
63,"Male","British Columbia",NA,"YES","Lower Middle Class to Poor"
79,"Male","Quebec","Limited Education","YES","Lower Middle Class to Poor"
43,"Male","British Columbia","Limited Education","YES","Lower Middle Class to Poor"
57,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
45,"Female","Newfoundland and Labrador","Highly Educated","YES","Upper Middle Class to Wealthy"
56,"Male","Ontario",NA,"NO","Middle Class"
24,"Female","Saskatchewan",NA,"YES","Lower Middle Class to Poor"
48,"Male","Nova Scotia","Highly Educated","NO","Middle Class"
41,"Female","Ontario",NA,"NO","Upper Middle Class to Wealthy"
64,"Female","Nova Scotia","Some Education","YES","Lower Middle Class to Poor"
80,"Female","Alberta","Limited Education","NO","Lower Middle Class to Poor"
29,"Female","British Columbia",NA,"NO","Middle Class"
79,"Male","Newfoundland and Labrador","Limited Education","YES","Lower Middle Class to Poor"
59,"Male","Alberta",NA,"YES","Upper Middle Class to Wealthy"
47,"Male","Saskatchewan",NA,"YES","Middle Class"
36,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor"
22,"Male","Alberta","Highly Educated","NO","Lower Middle Class to Poor"
54,"Female","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
51,"Female","Nova Scotia","Highly Educated","YES","Middle Class"
45,"Male","Ontario","Highly Educated","YES","Middle Class"
72,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
73,"Female","New Brunswick","Limited Education","YES","Lower Middle Class to Poor"
71,"Male","British Columbia",NA,"NO","Middle Class"
64,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor"
47,"Male","Quebec","Limited Education","YES","Lower Middle Class to Poor"
58,"Female","Ontario",NA,"YES","Middle Class"
36,"Female","Ontario",NA,"NO","Middle Class"
60,"Female","Alberta",NA,"NO","Middle Class"
66,"Male","Manitoba","Limited Education","YES","Middle Class"
78,"Male","Ontario","Limited Education","YES","Lower Middle Class to Poor"
34,"Male","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy"
77,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
75,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
71,"Female","British Columbia","Limited Education","YES","Lower Middle Class to Poor"
28,"Male","Quebec",NA,"YES","Lower Middle Class to Poor"
80,"Male","Quebec","Limited Education","YES","Lower Middle Class to Poor"
40,"Male","Prince Edward Island","Some Education","YES","Middle Class"
31,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor"
70,"Male","Ontario",NA,"YES","Middle Class"
56,"Female","Ontario","Highly Educated","NO","Lower Middle Class to Poor"
77,"Female","Ontario","Limited Education","YES","Lower Middle Class to Poor"
31,"Male","Prince Edward Island","Highly Educated","YES","Lower Middle Class to Poor"
80,"Male","Ontario","Highly Educated","YES","Middle Class"
33,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
64,"Female","Newfoundland and Labrador",NA,"YES","Middle Class"
57,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
41,"Female","British Columbia",NA,"YES","Middle Class"
18,"Female","Ontario","Limited Education","NO","Lower Middle Class to Poor"
40,"Male","Ontario","Highly Educated","YES","Middle Class"
49,"Female","Saskatchewan","Highly Educated","YES","Middle Class"
65,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
30,"Male","Prince Edward Island",NA,"YES","Lower Middle Class to Poor"
33,"Male","Alberta","Some Education","NO","Lower Middle Class to Poor"
26,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor"
39,"Female","British Columbia",NA,"NO","Lower Middle Class to Poor"
70,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
67,"Female","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
32,"Female","Quebec",NA,"YES","Lower Middle Class to Poor"
61,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
66,"Female","Ontario",NA,"YES","Upper Middle Class to Wealthy"
59,"Male","New Brunswick","Highly Educated","YES","Middle Class"
63,"Female","Alberta","Highly Educated","YES","Middle Class"
44,"Male","Ontario",NA,"NO",NA
51,"Female","New Brunswick",NA,"YES","Lower Middle Class to Poor"
53,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
41,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
77,"Female","Newfoundland and Labrador","Limited Education","YES","Lower Middle Class to Poor"
17,"Female","Alberta","Limited Education","YES","Lower Middle Class to Poor"
62,"Male","Newfoundland and Labrador","Some Education","YES","Middle Class"
57,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor"
80,"Male","Ontario","Some Education","YES","Middle Class"
69,"Male","British Columbia",NA,"YES","Lower Middle Class to Poor"
65,"Female","Nova Scotia","Some Education","YES","Lower Middle Class to Poor"
71,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor"
73,"Female","Nova Scotia","Limited Education","YES","Lower Middle Class to Poor"
80,"Male","Ontario","Limited Education","YES","Lower Middle Class to Poor"
67,"Female","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
62,"Female","Ontario","Some Education","YES","Middle Class"
67,"Male","Ontario","Some Education","YES","Middle Class"
47,"Male","Nova Scotia","Highly Educated","YES","Lower Middle Class to Poor"
53,"Female","Ontario","Highly Educated","YES","Middle Class"
20,"Female","Manitoba","Some Education","NO","Lower Middle Class to Poor"
32,"Female","Quebec","Highly Educated","YES","Middle Class"
78,"Male","Ontario","Some Education","YES","Middle Class"
24,"Female","Ontario",NA,"NO","Lower Middle Class to Poor"
50,"Female","Quebec",NA,"YES","Middle Class"
63,"Male","Ontario",NA,"YES","Lower Middle Class to Poor"
62,"Female","Quebec",NA,"YES","Middle Class"
36,"Female","Alberta",NA,"NO","Lower Middle Class to Poor"
63,"Male","Ontario","Limited Education","NO","Middle Class"
68,"Female","Newfoundland and Labrador","Some Education","YES","Lower Middle Class to Poor"
54,"Male","Newfoundland and Labrador",NA,"YES","Upper Middle Class to Wealthy"
51,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
68,"Male","Ontario","Some Education","YES","Middle Class"
58,"Female","Saskatchewan","Highly Educated","YES",NA
52,"Male","British Columbia","Highly Educated","NO","Middle Class"
35,"Male","British Columbia","Limited Education","YES","Middle Class"
54,"Female","Saskatchewan","Limited Education","YES","Lower Middle Class to Poor"
68,"Male","Ontario","Highly Educated","YES",NA
62,"Female","Prince Edward Island","Highly Educated","YES","Middle Class"
24,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
72,"Female","Prince Edward Island","Limited Education","YES","Lower Middle Class to Poor"
68,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor"
59,"Male","British Columbia","Highly Educated","NO","Upper Middle Class to Wealthy"
41,"Female","New Brunswick","Some Education","YES","Middle Class"
67,"Female","Alberta",NA,"YES","Middle Class"
56,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
69,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor"
77,"Male","British Columbia",NA,"YES",NA
54,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
76,"Female","Prince Edward Island","Limited Education","YES","Lower Middle Class to Poor"
33,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
31,"Female","Saskatchewan",NA,"YES","Lower Middle Class to Poor"
54,"Female","British Columbia",NA,"YES","Lower Middle Class to Poor"
53,"Male","Ontario","Some Education","YES","Upper Middle Class to Wealthy"
70,"Male","Ontario","Some Education","YES","Middle Class"
65,"Male","Quebec","Limited Education","YES","Lower Middle Class to Poor"
72,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
37,"Female","Prince Edward Island","Highly Educated","NO","Lower Middle Class to Poor"
31,"Male","Quebec","Some Education","NO","Lower Middle Class to Poor"
54,"Female","Alberta",NA,"NO","Lower Middle Class to Poor"
80,"Male","Ontario","Limited Education","YES","Lower Middle Class to Poor"
62,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor"
46,"Female","Newfoundland and Labrador",NA,"YES","Middle Class"
65,"Female","Ontario","Limited Education","YES","Lower Middle Class to Poor"
52,"Male","Ontario","Some Education","YES","Middle Class"
32,"Female","British Columbia","Highly Educated","NO","Middle Class"
67,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
66,"Male","British Columbia",NA,"NO","Lower Middle Class to Poor"
64,"Female","British Columbia","Highly Educated","YES",NA
80,"Male","Ontario","Limited Education","NO","Lower Middle Class to Poor"
68,"Female","Nova Scotia","Some Education","YES","Lower Middle Class to Poor"
67,"Male","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
62,"Female","British Columbia",NA,"NO","Lower Middle Class to Poor"
71,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
40,"Male","Ontario",NA,"YES","Middle Class"
26,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
57,"Male","Alberta",NA,"NO",NA
36,"Male","Saskatchewan","Some Education","NO","Middle Class"
63,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor"
39,"Female","Prince Edward Island","Highly Educated","YES","Lower Middle Class to Poor"
75,"Male","Prince Edward Island","Limited Education","YES","Middle Class"
63,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor"
66,"Male","Ontario","Highly Educated","NO","Lower Middle Class to Poor"
20,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor"
72,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
28,"Male","Newfoundland and Labrador","Highly Educated","YES","Middle Class"
45,"Male","Ontario",NA,"YES","Lower Middle Class to Poor"
63,"Female","Quebec",NA,"YES","Lower Middle Class to Poor"
28,"Female","Quebec",NA,"YES","Lower Middle Class to Poor"
57,"Female","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
58,"Female","Manitoba","Some Education","YES","Lower Middle Class to Poor"
61,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor"
66,"Male","Nova Scotia","Some Education","YES","Middle Class"
63,"Male","Ontario","Limited Education","YES","Lower Middle Class to Poor"
33,"Male","Newfoundland and Labrador",NA,"YES",NA
39,"Male","Quebec","Some Education","YES","Middle Class"
56,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor"
34,"Male","Manitoba",NA,"YES","Middle Class"
48,"Female","Nova Scotia","Some Education","YES","Lower Middle Class to Poor"
22,"Male","Ontario",NA,"NO","Lower Middle Class to Poor"
65,"Male","British Columbia","Some Education","YES","Middle Class"
22,"Female","Manitoba","Limited Education","YES","Lower Middle Class to Poor"
50,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor"
23,"Male","Nova Scotia","Some Education","NO","Lower Middle Class to Poor"
66,"Male","New Brunswick","Highly Educated","YES",NA
35,"Female","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
50,"Male","British Columbia","Highly Educated","NO","Lower Middle Class to Poor"
37,"Male","Alberta",NA,"YES",NA
80,"Female","British Columbia",NA,"YES","Lower Middle Class to Poor"
62,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
60,"Male","Saskatchewan","Highly Educated","YES","Middle Class"
42,"Female","Newfoundland and Labrador","Some Education","YES","Middle Class"
66,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor"
17,"Male","Ontario","Limited Education","YES","Lower Middle Class to Poor"
80,"Female","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
77,"Male","British Columbia","Some Education","NO","Lower Middle Class to Poor"
36,"Female","British Columbia","Some Education","NO","Middle Class"
67,"Male","Ontario","Some Education","NO","Lower Middle Class to Poor"
26,"Female","Quebec","Limited Education","NO","Lower Middle Class to Poor"
55,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
17,"Male","Alberta","Limited Education","YES","Lower Middle Class to Poor"
58,"Male","Nova Scotia","Some Education","YES","Lower Middle Class to Poor"
44,"Male","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
61,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
27,"Male","Quebec","Highly Educated","YES","Lower Middle Class to Poor"
16,"Male","Manitoba","Limited Education","YES","Lower Middle Class to Poor"
71,"Female","New Brunswick","Limited Education","YES","Lower Middle Class to Poor"
69,"Male","Quebec","Some Education","YES","Middle Class"
80,"Male","Manitoba","Some Education","YES","Middle Class"
55,"Male","Ontario",NA,"YES",NA
55,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
70,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor"
41,"Male","Nova Scotia","Highly Educated","YES","Lower Middle Class to Poor"
80,"Male","Saskatchewan","Highly Educated","YES","Lower Middle Class to Poor"
62,"Male","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy"
32,"Female","Ontario","Highly Educated","YES","Middle Class"
78,"Female","Alberta","Limited Education","YES","Lower Middle Class to Poor"
63,"Female","Quebec",NA,"YES","Lower Middle Class to Poor"
55,"Female","Nova Scotia","Some Education","YES","Middle Class"
80,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
72,"Female","Ontario","Some Education","YES","Middle Class"
60,"Male","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
41,"Female","British Columbia",NA,"YES","Middle Class"
79,"Male","Ontario","Limited Education","YES","Lower Middle Class to Poor"
68,"Female","New Brunswick",NA,"YES","Middle Class"
75,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
78,"Male","Quebec",NA,"YES","Lower Middle Class to Poor"
54,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor"
61,"Female","Quebec",NA,"YES","Lower Middle Class to Poor"
40,"Male","Alberta","Highly Educated","YES","Lower Middle Class to Poor"
49,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor"
41,"Male","Quebec","Highly Educated","YES","Upper Middle Class to Wealthy"
80,"Female","Quebec","Limited Education","YES","Middle Class"
30,"Male","Ontario",NA,"YES","Lower Middle Class to Poor"
18,"Male","British Columbia","Limited Education","NO","Lower Middle Class to Poor"
75,"Male","Ontario",NA,"YES","Upper Middle Class to Wealthy"
45,"Male","British Columbia","Some Education","YES",NA
26,"Male","Alberta","Some Education","YES","Middle Class"
61,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
52,"Male","Ontario",NA,"YES","Middle Class"
32,"Male","Alberta",NA,"NO","Middle Class"
80,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
71,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
63,"Male","British Columbia",NA,"YES","Middle Class"
26,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
59,"Male","New Brunswick","Limited Education","YES","Lower Middle Class to Poor"
34,"Male","Alberta",NA,"YES","Upper Middle Class to Wealthy"
40,"Male","Alberta","Some Education","YES",NA
39,"Male","Alberta",NA,"YES","Lower Middle Class to Poor"
43,"Female","Ontario",NA,"NO","Middle Class"
53,"Male","Ontario","Some Education","YES","Middle Class"
21,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor"
59,"Male","Ontario",NA,"YES","Lower Middle Class to Poor"
62,"Male","Ontario",NA,"YES","Middle Class"
58,"Female","Ontario","Limited Education","YES","Middle Class"
69,"Male","Manitoba","Highly Educated","YES","Lower Middle Class to Poor"
63,"Male","New Brunswick",NA,"YES","Middle Class"
48,"Female","New Brunswick","Highly Educated","YES","Middle Class"
60,"Female","Nova Scotia",NA,"YES","Lower Middle Class to Poor"
41,"Male","Ontario",NA,"YES","Middle Class"
44,"Male","British Columbia",NA,"NO","Lower Middle Class to Poor"
72,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
24,"Female","Ontario","Highly Educated","YES","Lower Middle Class to Poor"
40,"Female","Ontario","Highly Educated","YES","Middle Class"
46,"Male","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
37,"Male","Nova Scotia","Highly Educated","NO","Lower Middle Class to Poor"
48,"Female","Quebec","Highly Educated","YES","Middle Class"
40,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor"
32,"Female","British Columbia",NA,"YES","Middle Class"
48,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor"
58,"Male","Quebec",NA,"YES","Middle Class"
80,"Female","Ontario","Limited Education","YES","Lower Middle Class to Poor"
21,"Male","Ontario",NA,"NO","Lower Middle Class to Poor"
61,"Male","Ontario","Some Education","NO",NA
54,"Male","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy"
38,"Male","Ontario","Highly Educated","NO","Lower Middle Class to Poor"
77,"Male","Nova Scotia","Some Education","YES","Lower Middle Class to Poor"
73,"Female","Manitoba","Limited Education","YES","Lower Middle Class to Poor"
70,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
69,"Female","Saskatchewan","Some Education","YES","Lower Middle Class to Poor"
51,"Male","Prince Edward Island","Some Education","NO","Lower Middle Class to Poor"
37,"Male","British Columbia","Some Education","YES","Middle Class"
36,"Male","Quebec",NA,"YES",NA
79,"Female","Ontario",NA,"YES","Middle Class"
28,"Female","Ontario",NA,"NO","Lower Middle Class to Poor"
80,"Female","Newfoundland and Labrador",NA,"YES","Middle Class"
24,"Male","Quebec","Limited Education","YES","Lower Middle Class to Poor"
61,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor"
56,"Male","Alberta",NA,"YES",NA
40,"Female","British Columbia","Highly Educated","NO","Lower Middle Class to Poor"
56,"Female","Quebec",NA,"YES",NA
60,"Female","Quebec","Some Education","NO","Lower Middle Class to Poor"
39,"Female","Alberta",NA,"YES","Middle Class"
61,"Male","Prince Edward Island","Some Education","YES","Middle Class"
62,"Male","Ontario",NA,"YES","Upper Middle Class to Wealthy"
32,"Male","Alberta",NA,"YES","Middle Class"
41,"Male","British Columbia",NA,"YES","Middle Class"
73,"Male","Newfoundland and Labrador","Some Education","YES","Middle Class"
30,"Female","Manitoba","Some Education","NO","Lower Middle Class to Poor"
20,"Female","Manitoba","Some Education","YES","Lower Middle Class to Poor"
62,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor"
29,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
47,"Female","Ontario","Highly Educated","YES","Upper Middle Class to Wealthy"
37,"Male","Ontario",NA,"NO",NA
22,"Male","Ontario","Some Education","NO","Middle Class"
80,"Male","Ontario","Limited Education","YES","Lower Middle Class to Poor"
48,"Male","Ontario",NA,"YES","Upper Middle Class to Wealthy"
64,"Female","Ontario",NA,"YES","Middle Class"
56,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor"
38,"Female","Ontario","Highly Educated","YES","Middle Class"
73,"Male","Newfoundland and Labrador","Limited Education","YES","Lower Middle Class to Poor"
23,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor"
51,"Male","Ontario",NA,"YES","Middle Class"
36,"Female","Quebec","Limited Education","YES","Lower Middle Class to Poor"
56,"Male","Alberta",NA,"YES","Middle Class"
60,"Male","Quebec",NA,"YES","Lower Middle Class to Poor"
69,"Male","Quebec","Some Education","NO","Lower Middle Class to Poor"
66,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
21,"Female","Ontario","Some Education","NO","Lower Middle Class to Poor"
38,"Male","Manitoba","Highly Educated","YES","Middle Class"
80,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor"
49,"Male","Alberta",NA,"YES","Middle Class"
58,"Male","New Brunswick","Some Education","YES","Middle Class"
50,"Female","Nova Scotia","Some Education","YES","Lower Middle Class to Poor"
68,"Male","Quebec","Limited Education","YES","Lower Middle Class to Poor"
77,"Male","British Columbia",NA,"YES","Middle Class"
57,"Male","Manitoba","Limited Education","YES","Lower Middle Class to Poor"
78,"Male","Quebec",NA,"YES","Lower Middle Class to Poor"
62,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
72,"Female","Ontario","Some Education","YES","Lower Middle Class to Poor"
38,"Female","Quebec","Some Education","NO","Lower Middle Class to Poor"
80,"Female","Ontario","Limited Education","YES","Lower Middle Class to Poor"
51,"Male","Ontario","Some Education","YES","Lower Middle Class to Poor"
69,"Male","Quebec","Some Education","YES","Lower Middle Class to Poor"
67,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor"
28,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor"
26,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor"
61,"Female","New Brunswick",NA,"YES","Lower Middle Class to Poor"
32,"Female","Quebec",NA,"YES","Middle Class"
47,"Female","British Columbia",NA,"YES","Lower Middle Class to Poor"
36,"Male","Ontario",NA,"YES",NA
52,"Male","New Brunswick",NA,"YES","Middle Class"
58,"Female","Ontario","Highly Educated","YES","Middle Class"
44,"Female","Ontario",NA,"YES","Lower Middle Class to Poor"
19,"Male","Alberta","Some Education","NO","Lower Middle Class to Poor"
52,"Female","Quebec","Some Education","YES","Lower Middle Class to Poor"
49,"Female","Nova Scotia","Limited Education","YES","Lower Middle Class to Poor"
55,"Female","Prince Edward Island",NA,"YES","Middle Class"
64,"Male","Ontario","Some Education","YES","Middle Class"
31,"Female","Quebec",NA,"YES","Lower Middle Class to Poor"
43,"Female","British Columbia","Highly Educated","YES",NA
58,"Female","Saskatchewan",NA,"YES","Middle Class"
68,"Male","New Brunswick","Limited Education","YES","Lower Middle Class to Poor"
