"age","sex","province","education","religion","income_before_tax","vote_liberal","vote_conservative"
24,"Female","Alberta","Some Education","YES","Middle Class",0,1
53,"Male","British Columbia","Highly Educated","NO","Lower Middle Class to Poor",NA,NA
51,"Female","Alberta","Highly Educated","YES","Middle Class",NA,NA
25,"Female","Alberta","Highly Educated","NO","Middle Class",0,1
75,"Female","British Columbia","Some Education","NO","Middle Class",NA,NA
35,"Female","British Columbia","Some Education","YES","Middle Class",0,0
31,"Female","Alberta","Some Education","NO","Middle Class",NA,NA
23,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA
64,"Male","Alberta","Highly Educated","YES","Middle Class",NA,NA
60,"Female","Manitoba","Some Education","YES","Middle Class",NA,NA
77,"Female","Alberta","Highly Educated","YES","Middle Class",NA,NA
66,"Female","Alberta","Highly Educated","YES","Upper Middle Class to Wealthy",1,0
66,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1
74,"Female","Alberta","Highly Educated","YES","Middle Class",NA,NA
42,"Male","Alberta","Some Education","NO","Middle Class",NA,NA
54,"Male","Alberta","Highly Educated","YES","Middle Class",0,1
24,"Male","British Columbia","Highly Educated","NO","Middle Class",0,0
64,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",1,0
24,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",NA,NA
68,"Male","British Columbia","Some Education","YES","Middle Class",0,1
52,"Male","Alberta","Highly Educated","NO","Upper Middle Class to Wealthy",0,0
45,"Female","Alberta","Highly Educated","NO","Middle Class",NA,NA
72,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",0,1
66,"Female","British Columbia","Highly Educated","YES","Middle Class",1,0
31,"Female","New Brunswick","Some Education","YES","Middle Class",0,0
30,"Female","Manitoba","Highly Educated","NO","Middle Class",0,0
51,"Female","British Columbia","Highly Educated","NO","Middle Class",1,0
73,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor",0,0
36,"Male","Alberta","Highly Educated","YES","Middle Class",NA,NA
50,"Female","British Columbia","Some Education","YES","Upper Middle Class to Wealthy",0,0
55,"Female","Alberta","Some Education","YES","Middle Class",NA,NA
57,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor",0,0
83,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",1,0
70,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor",NA,NA
75,"Female","Alberta","Some Education","YES","Middle Class",0,1
52,"Male","New Brunswick","Some Education","YES","Lower Middle Class to Poor",NA,NA
66,"Male","Alberta","Highly Educated","YES","Middle Class",NA,NA
69,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",NA,NA
56,"Female","Manitoba","Highly Educated","YES","Middle Class",0,0
23,"Female","British Columbia","Some Education","YES","Middle Class",0,0
38,"Male","Alberta","Some Education","NO","Lower Middle Class to Poor",NA,NA
53,"Male","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",0,0
65,"Female","Newfoundland and Labrador","Highly Educated","NO","Lower Middle Class to Poor",NA,NA
42,"Male","Newfoundland and Labrador","Some Education","NO","Lower Middle Class to Poor",NA,NA
53,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1
53,"Female","Alberta","Highly Educated","YES","Middle Class",0,1
29,"Female","Alberta","Highly Educated","NO","Middle Class",0,1
61,"Female","Alberta","Some Education","YES","Middle Class",NA,NA
48,"Female","Alberta","Highly Educated","YES","Middle Class",1,0
25,"Male","Manitoba","Some Education","YES","Middle Class",0,0
53,"Female","Alberta","Some Education","YES","Middle Class",0,0
76,"Female","British Columbia","Some Education","NO","Middle Class",NA,NA
33,"Female","Alberta","Some Education","NO","Middle Class",0,0
67,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",0,0
74,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1
37,"Female","Alberta","Some Education","YES","Upper Middle Class to Wealthy",NA,NA
67,"Male","British Columbia","Highly Educated","NO","Middle Class",0,0
60,"Female","New Brunswick","Highly Educated","NO","Upper Middle Class to Wealthy",1,0
51,"Male","New Brunswick","Some Education","YES","Middle Class",0,0
63,"Female","British Columbia","Some Education","NO","Upper Middle Class to Wealthy",0,0
68,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA
39,"Female","Manitoba","Highly Educated","YES","Middle Class",1,0
38,"Male","British Columbia","Highly Educated","YES","Middle Class",1,0
37,"Male","British Columbia","Some Education","NO","Middle Class",0,0
36,"Male","Alberta","Highly Educated","YES","Lower Middle Class to Poor",NA,NA
45,"Male","British Columbia","Highly Educated","NO","Middle Class",0,0
69,"Female","British Columbia","Some Education","YES","Middle Class",0,1
47,"Female","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",1,0
54,"Female","Alberta","Highly Educated","NO","Upper Middle Class to Wealthy",1,0
71,"Female","Alberta","Highly Educated","YES","Middle Class",0,0
73,"Male","Manitoba","Some Education","YES","Middle Class",0,1
53,"Female","British Columbia","Some Education","NO","Upper Middle Class to Wealthy",NA,NA
26,"Female","Manitoba","Some Education","NO","Middle Class",NA,NA
50,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor",0,0
73,"Female","British Columbia","Some Education","YES","Middle Class",0,0
55,"Male","British Columbia","Highly Educated","NO","Middle Class",NA,NA
31,"Male","Alberta","Highly Educated","YES","Middle Class",0,1
26,"Female","Alberta","Highly Educated","YES","Middle Class",0,1
65,"Male","Alberta","Some Education","NO","Lower Middle Class to Poor",0,0
67,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",1,0
53,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor",0,1
30,"Male","British Columbia","Highly Educated","YES","Middle Class",0,1
46,"Male","British Columbia","Highly Educated","YES","Middle Class",0,0
54,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor",0,1
53,"Male","Alberta","Highly Educated","NO","Middle Class",NA,NA
69,"Female","Alberta","Some Education","YES","Middle Class",0,0
42,"Female","British Columbia","Highly Educated","NO","Lower Middle Class to Poor",0,0
62,"Male","Newfoundland and Labrador","Some Education","YES","Lower Middle Class to Poor",NA,NA
66,"Female","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",1,0
49,"Female","British Columbia","Highly Educated","NO","Middle Class",NA,NA
37,"Male","British Columbia","Highly Educated","YES","Middle Class",0,1
27,"Female","Manitoba","Some Education","YES","Upper Middle Class to Wealthy",0,0
66,"Male","Newfoundland and Labrador","Some Education","YES","Middle Class",NA,NA
29,"Female","Alberta","Highly Educated","YES","Lower Middle Class to Poor",NA,NA
44,"Male","British Columbia","Highly Educated","NO","Middle Class",1,0
79,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor",NA,NA
64,"Female","Manitoba","Some Education","YES","Middle Class",NA,NA
57,"Male","British Columbia","Some Education","YES","Middle Class",NA,NA
65,"Female","British Columbia","Some Education","YES","Middle Class",0,0
65,"Female","New Brunswick","Some Education","YES","Upper Middle Class to Wealthy",NA,NA
54,"Female","Alberta","Highly Educated","NO","Upper Middle Class to Wealthy",1,0
26,"Male","Newfoundland and Labrador","Highly Educated","NO","Middle Class",1,0
67,"Female","New Brunswick","Some Education","YES","Middle Class",0,1
34,"Male","Manitoba","Highly Educated","YES","Middle Class",0,0
55,"Male","Alberta","Some Education","NO","Upper Middle Class to Wealthy",NA,NA
24,"Female","New Brunswick","Highly Educated","NO","Middle Class",NA,NA
36,"Male","British Columbia","Some Education","YES","Middle Class",0,1
42,"Female","British Columbia","Some Education","YES","Middle Class",1,0
19,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor",0,0
21,"Male","British Columbia","Some Education","NO","Middle Class",0,0
46,"Male","Alberta","Some Education","YES","Upper Middle Class to Wealthy",NA,NA
32,"Female","British Columbia","Highly Educated","NO","Middle Class",0,0
65,"Male","Alberta","Some Education","NO","Upper Middle Class to Wealthy",0,0
71,"Male","British Columbia","Some Education","YES","Middle Class",0,0
59,"Female","Alberta","Highly Educated","NO","Upper Middle Class to Wealthy",NA,NA
74,"Female","British Columbia","Some Education","YES","Middle Class",1,0
50,"Male","Manitoba","Some Education","YES","Upper Middle Class to Wealthy",NA,NA
77,"Male","Manitoba","Highly Educated","YES","Lower Middle Class to Poor",1,0
59,"Female","British Columbia","Some Education","YES","Middle Class",0,1
66,"Male","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",0,1
66,"Female","British Columbia","Highly Educated","YES","Middle Class",NA,NA
19,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor",0,1
67,"Female","Alberta","Highly Educated","NO","Upper Middle Class to Wealthy",1,0
28,"Female","Alberta","Highly Educated","YES","Lower Middle Class to Poor",NA,NA
28,"Female","Alberta","Highly Educated","YES","Middle Class",1,0
76,"Female","Alberta","Highly Educated","YES","Middle Class",0,0
57,"Female","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",0,1
35,"Female","Alberta","Some Education","YES","Middle Class",0,1
64,"Female","Manitoba","Some Education","YES","Middle Class",1,0
74,"Male","British Columbia","Highly Educated","NO","Lower Middle Class to Poor",1,0
35,"Female","British Columbia","Highly Educated","YES","Middle Class",1,0
27,"Female","Alberta","Highly Educated","YES","Lower Middle Class to Poor",0,0
26,"Female","British Columbia","Highly Educated","NO","Middle Class",0,0
52,"Female","Alberta","Some Education","NO","Middle Class",NA,NA
62,"Male","Alberta","Some Education","NO","Lower Middle Class to Poor",0,0
57,"Female","Alberta","Some Education","NO","Middle Class",1,0
77,"Female","British Columbia","Some Education","YES","Middle Class",NA,NA
19,"Female","Manitoba","Some Education","YES","Lower Middle Class to Poor",NA,NA
56,"Male","Alberta","Highly Educated","YES","Middle Class",1,0
43,"Male","Alberta","Highly Educated","YES","Middle Class",0,0
65,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1
20,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor",0,0
42,"Female","Newfoundland and Labrador","Limited Education","YES","Lower Middle Class to Poor",1,0
51,"Male","British Columbia","Highly Educated","YES","Middle Class",1,0
69,"Male","Alberta","Some Education","NO","Lower Middle Class to Poor",NA,NA
24,"Female","British Columbia","Some Education","YES","Middle Class",NA,NA
70,"Male","Alberta","Some Education","YES","Middle Class",1,0
73,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA
21,"Female","New Brunswick","Some Education","YES","Middle Class",0,0
71,"Female","British Columbia","Some Education","YES","Middle Class",0,0
52,"Female","Alberta","Some Education","YES","Middle Class",0,1
48,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA
80,"Male","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",0,1
72,"Female","Alberta","Highly Educated","YES","Middle Class",NA,NA
78,"Male","Newfoundland and Labrador","Highly Educated","YES","Middle Class",1,0
76,"Female","Alberta","Some Education","YES","Middle Class",0,1
54,"Male","Alberta","Some Education","YES","Upper Middle Class to Wealthy",0,0
52,"Male","Alberta","Highly Educated","YES","Middle Class",0,0
49,"Male","British Columbia","Highly Educated","NO","Middle Class",0,1
74,"Female","New Brunswick","Some Education","YES","Middle Class",NA,NA
64,"Male","Manitoba","Some Education","YES","Lower Middle Class to Poor",1,0
71,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",0,1
38,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",NA,NA
77,"Female","New Brunswick","Some Education","YES","Middle Class",NA,NA
76,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor",0,1
76,"Male","Newfoundland and Labrador","Some Education","YES","Middle Class",NA,NA
33,"Male","Alberta","Highly Educated","NO","Middle Class",NA,NA
23,"Female","Manitoba","Some Education","NO","Lower Middle Class to Poor",0,0
34,"Male","British Columbia","Some Education","YES","Middle Class",1,0
44,"Female","Manitoba","Some Education","YES","Middle Class",NA,NA
58,"Female","Manitoba","Some Education","YES","Middle Class",0,0
61,"Male","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",0,1
67,"Female","Newfoundland and Labrador","Some Education","YES","Middle Class",1,0
58,"Male","British Columbia","Some Education","NO","Lower Middle Class to Poor",0,0
32,"Female","Manitoba","Highly Educated","NO","Middle Class",0,0
65,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",1,0
33,"Female","Alberta","Highly Educated","YES","Lower Middle Class to Poor",0,0
34,"Male","Alberta","Highly Educated","NO","Middle Class",0,0
34,"Male","Alberta","Highly Educated","YES","Middle Class",1,0
29,"Female","British Columbia","Highly Educated","YES","Middle Class",1,0
55,"Male","British Columbia","Some Education","NO","Middle Class",NA,NA
45,"Male","British Columbia","Some Education","NO","Lower Middle Class to Poor",0,0
44,"Male","British Columbia","Some Education","NO","Lower Middle Class to Poor",0,0
53,"Male","New Brunswick","Some Education","NO","Middle Class",0,1
80,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",0,0
83,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA
72,"Female","Alberta","Highly Educated","NO","Middle Class",0,0
63,"Female","Manitoba","Highly Educated","NO","Upper Middle Class to Wealthy",1,0
49,"Male","Alberta","Some Education","NO","Lower Middle Class to Poor",0,0
62,"Male","Alberta","Some Education","YES","Middle Class",0,1
39,"Female","Alberta","Some Education","NO","Middle Class",NA,NA
29,"Male","New Brunswick","Some Education","NO","Lower Middle Class to Poor",NA,NA
44,"Female","Newfoundland and Labrador","Some Education","YES","Middle Class",0,0
28,"Female","Alberta","Highly Educated","YES","Lower Middle Class to Poor",1,0
40,"Female","Alberta","Highly Educated","NO","Upper Middle Class to Wealthy",NA,NA
19,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,0
73,"Female","Alberta","Highly Educated","YES","Upper Middle Class to Wealthy",0,1
51,"Female","Manitoba","Some Education","YES","Middle Class",0,0
71,"Female","Alberta","Highly Educated","YES","Upper Middle Class to Wealthy",0,1
56,"Female","Alberta","Some Education","YES","Middle Class",NA,NA
77,"Male","Alberta","Some Education","YES","Middle Class",NA,NA
39,"Male","Alberta","Some Education","NO","Upper Middle Class to Wealthy",0,0
54,"Male","Manitoba","Highly Educated","NO","Middle Class",1,0
67,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",1,0
51,"Male","Newfoundland and Labrador","Some Education","YES","Lower Middle Class to Poor",1,0
73,"Female","Alberta","Highly Educated","NO","Middle Class",NA,NA
49,"Male","Alberta","Highly Educated","YES","Middle Class",NA,NA
27,"Female","Manitoba","Limited Education","YES","Middle Class",0,0
40,"Male","Newfoundland and Labrador","Highly Educated","YES","Upper Middle Class to Wealthy",0,1
54,"Male","Alberta","Highly Educated","YES","Upper Middle Class to Wealthy",0,1
65,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",0,0
35,"Male","British Columbia","Some Education","YES","Middle Class",NA,NA
55,"Male","British Columbia","Highly Educated","NO","Upper Middle Class to Wealthy",0,0
71,"Female","Alberta","Highly Educated","YES","Lower Middle Class to Poor",0,0
60,"Female","British Columbia","Some Education","NO","Middle Class",0,0
71,"Female","Alberta","Some Education","YES","Middle Class",0,1
60,"Female","Alberta","Highly Educated","YES","Upper Middle Class to Wealthy",0,1
79,"Male","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",0,1
56,"Male","New Brunswick","Some Education","YES","Middle Class",NA,NA
29,"Male","Alberta","Highly Educated","YES","Upper Middle Class to Wealthy",0,0
76,"Female","British Columbia","Highly Educated","YES","Middle Class",NA,NA
60,"Female","Alberta","Highly Educated","YES","Upper Middle Class to Wealthy",0,0
57,"Female","Manitoba","Highly Educated","YES","Middle Class",0,0
47,"Male","Alberta","Some Education","NO","Middle Class",NA,NA
36,"Female","British Columbia","Some Education","YES","Middle Class",NA,NA
45,"Female","Manitoba","Some Education","YES","Middle Class",NA,NA
31,"Male","British Columbia","Highly Educated","YES","Middle Class",0,0
57,"Female","British Columbia","Highly Educated","YES","Middle Class",0,0
51,"Female","British Columbia","Some Education","NO","Middle Class",NA,NA
64,"Male","Alberta","Highly Educated","NO","Middle Class",NA,NA
64,"Female","Manitoba","Some Education","NO","Lower Middle Class to Poor",1,0
27,"Male","Manitoba","Highly Educated","YES","Middle Class",0,0
54,"Male","British Columbia","Some Education","NO","Lower Middle Class to Poor",0,0
70,"Female","British Columbia","Highly Educated","NO","Middle Class",0,0
72,"Male","Alberta","Some Education","NO","Middle Class",0,0
45,"Female","Alberta","Some Education","YES","Middle Class",0,0
40,"Female","British Columbia","Highly Educated","NO","Middle Class",0,0
60,"Female","Manitoba","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA
58,"Female","British Columbia","Highly Educated","YES","Middle Class",0,0
32,"Female","Alberta","Highly Educated","YES","Middle Class",1,0
65,"Male","British Columbia","Some Education","NO","Middle Class",1,0
22,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1
62,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor",0,0
75,"Female","British Columbia","Some Education","NO","Middle Class",0,1
21,"Female","New Brunswick","Some Education","NO","Lower Middle Class to Poor",NA,NA
28,"Male","New Brunswick","Some Education","YES","Lower Middle Class to Poor",0,0
54,"Female","British Columbia","Highly Educated","NO","Upper Middle Class to Wealthy",NA,NA
71,"Male","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",0,0
39,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor",NA,NA
36,"Male","Alberta","Highly Educated","NO","Upper Middle Class to Wealthy",1,0
49,"Male","Alberta","Some Education","YES","Upper Middle Class to Wealthy",1,0
24,"Female","British Columbia","Highly Educated","NO","Upper Middle Class to Wealthy",0,1
35,"Male","New Brunswick","Highly Educated","NO","Middle Class",NA,NA
48,"Male","Alberta","Highly Educated","YES","Middle Class",NA,NA
27,"Female","New Brunswick","Highly Educated","YES","Middle Class",1,0
35,"Female","Alberta","Highly Educated","NO","Middle Class",0,0
22,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",NA,NA
65,"Male","Manitoba","Some Education","YES","Middle Class",NA,NA
65,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor",NA,NA
72,"Female","British Columbia","Some Education","YES","Upper Middle Class to Wealthy",1,0
20,"Male","Alberta","Some Education","YES","Middle Class",1,0
62,"Female","Alberta","Highly Educated","NO","Upper Middle Class to Wealthy",1,0
21,"Male","Alberta","Some Education","NO","Lower Middle Class to Poor",NA,NA
46,"Female","British Columbia","Some Education","YES","Middle Class",NA,NA
76,"Male","British Columbia","Some Education","YES","Middle Class",0,1
32,"Female","British Columbia","Highly Educated","YES","Middle Class",NA,NA
25,"Male","British Columbia","Some Education","YES","Middle Class",1,0
36,"Female","Manitoba","Some Education","YES","Middle Class",0,1
27,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",0,1
39,"Female","Newfoundland and Labrador","Highly Educated","YES","Middle Class",1,0
35,"Female","Alberta","Some Education","NO","Middle Class",0,0
59,"Male","Alberta","Highly Educated","YES","Middle Class",NA,NA
47,"Male","Alberta","Some Education","NO","Middle Class",NA,NA
47,"Female","Alberta","Highly Educated","YES","Upper Middle Class to Wealthy",0,1
67,"Female","New Brunswick","Some Education","YES","Middle Class",0,0
66,"Female","Manitoba","Some Education","YES","Middle Class",1,0
62,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",NA,NA
29,"Male","British Columbia","Highly Educated","NO","Middle Class",NA,NA
23,"Female","Alberta","Highly Educated","NO","Middle Class",0,0
57,"Male","British Columbia","Highly Educated","NO","Lower Middle Class to Poor",0,1
67,"Female","Manitoba","Some Education","YES","Middle Class",0,1
43,"Male","Manitoba","Highly Educated","NO","Middle Class",1,0
79,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1
54,"Female","British Columbia","Highly Educated","NO","Middle Class",1,0
51,"Female","Alberta","Some Education","YES","Middle Class",NA,NA
76,"Male","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",1,0
51,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor",0,0
74,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",0,1
53,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1
76,"Female","British Columbia","Highly Educated","NO","Lower Middle Class to Poor",NA,NA
61,"Male","Alberta","Some Education","YES","Upper Middle Class to Wealthy",NA,NA
28,"Male","Manitoba","Some Education","YES","Middle Class",NA,NA
35,"Female","Alberta","Highly Educated","YES","Middle Class",0,0
31,"Female","Alberta","Some Education","NO","Middle Class",NA,NA
60,"Female","Alberta","Some Education","YES","Middle Class",1,0
32,"Female","Alberta","Highly Educated","YES","Middle Class",1,0
69,"Female","New Brunswick","Some Education","YES","Middle Class",NA,NA
29,"Male","Alberta","Some Education","YES","Middle Class",0,0
49,"Female","Manitoba","Highly Educated","YES","Middle Class",1,0
31,"Female","British Columbia","Highly Educated","YES","Lower Middle Class to Poor",0,0
48,"Male","Manitoba","Some Education","NO","Middle Class",1,0
60,"Female","Manitoba","Highly Educated","YES","Middle Class",NA,NA
79,"Female","British Columbia","Highly Educated","YES","Middle Class",0,0
27,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor",0,0
53,"Male","Manitoba","Some Education","YES","Upper Middle Class to Wealthy",NA,NA
69,"Male","Alberta","Some Education","YES","Middle Class",0,0
35,"Female","British Columbia","Highly Educated","NO","Middle Class",1,0
64,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor",1,0
51,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor",0,0
66,"Male","British Columbia","Some Education","YES","Lower Middle Class to Poor",0,0
59,"Female","Manitoba","Highly Educated","YES","Middle Class",1,0
67,"Male","Alberta","Highly Educated","YES","Middle Class",0,1
30,"Female","Alberta","Highly Educated","NO","Middle Class",NA,NA
71,"Female","Alberta","Some Education","YES","Middle Class",0,1
24,"Female","Alberta","Some Education","YES","Middle Class",0,0
56,"Male","New Brunswick","Some Education","YES","Lower Middle Class to Poor",0,0
78,"Female","Alberta","Some Education","YES","Lower Middle Class to Poor",0,1
50,"Female","Newfoundland and Labrador","Highly Educated","YES","Middle Class",0,0
57,"Female","Newfoundland and Labrador","Some Education","NO","Lower Middle Class to Poor",NA,NA
52,"Female","New Brunswick","Some Education","NO","Lower Middle Class to Poor",NA,NA
63,"Female","Alberta","Highly Educated","NO","Upper Middle Class to Wealthy",0,1
32,"Female","Alberta","Highly Educated","YES","Middle Class",1,0
41,"Male","Alberta","Some Education","NO","Middle Class",0,0
41,"Female","Manitoba","Highly Educated","YES","Middle Class",0,0
63,"Female","Manitoba","Highly Educated","NO","Middle Class",1,0
67,"Female","New Brunswick","Some Education","YES","Lower Middle Class to Poor",NA,NA
72,"Female","Manitoba","Highly Educated","YES","Middle Class",NA,NA
48,"Female","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",1,0
51,"Male","British Columbia","Highly Educated","YES","Middle Class",NA,NA
23,"Male","New Brunswick","Highly Educated","YES","Middle Class",0,0
35,"Female","Alberta","Some Education","NO","Lower Middle Class to Poor",NA,NA
72,"Female","Manitoba","Some Education","YES","Lower Middle Class to Poor",0,0
35,"Male","New Brunswick","Some Education","YES","Lower Middle Class to Poor",NA,NA
29,"Female","British Columbia","Highly Educated","YES","Upper Middle Class to Wealthy",0,1
72,"Male","Alberta","Some Education","YES","Lower Middle Class to Poor",NA,NA
78,"Female","Alberta","Highly Educated","YES","Middle Class",1,0
18,"Female","Alberta","Some Education","YES","Middle Class",NA,NA
67,"Male","Alberta","Some Education","YES","Upper Middle Class to Wealthy",0,1
52,"Male","British Columbia","Some Education","YES","Upper Middle Class to Wealthy",0,0
68,"Female","British Columbia","Some Education","NO","Lower Middle Class to Poor",0,0
32,"Female","Manitoba","Some Education","YES","Lower Middle Class to Poor",NA,NA
73,"Female","British Columbia","Some Education","YES","Lower Middle Class to Poor",NA,NA
69,"Male","Alberta","Highly Educated","YES","Upper Middle Class to Wealthy",NA,NA
37,"Female","Alberta","Some Education","YES","Middle Class",0,1
73,"Male","British Columbia","Some Education","YES","Middle Class",1,0
46,"Female","British Columbia","Some Education","NO","Middle Class",0,0
69,"Male","Alberta","Some Education","YES","Middle Class",NA,NA
49,"Male","Manitoba","Highly Educated","YES","Middle Class",0,0
44,"Female","Alberta","Highly Educated","NO","Middle Class",0,1
47,"Female","Manitoba","Some Education","NO","Upper Middle Class to Wealthy",1,0
